id,brand,model,url,type,formfactor,platform,classname,library_dependency,width,height,v,i,w,dependency,category,portname,porttype,functiontype,functionpintype,v_min,v_max,x,y,connectivity,compatibility,action,param,min,max,unit,constraint,value,valuemin,valuemax,valueunit,valueconstraint,count
,,,,,,,,,,,,,,,,8,WIRE,GPIO_4,INOUT,5,5,327.5,21.907,PWM_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,WIRE,PWM_4,INOUT,5,5,308.5,21.907,PWM_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,WIRE,PWM_5,INOUT,5,5,288.5,21.907,PWM_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,WIRE,PWM_6,INOUT,5,5,269.5,21.907,PWM_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12,WIRE,GPIO_5,INOUT,5,5,250.5,21.907,PWM_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,13,WIRE,GPIO_6,INOUT,5,5,231.5,21.907,PWM_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,212.5,21.907,ANALOG_0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,AREF,WIRE,,,,,193.5,21.907,ANALOG_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,5,5,174.5,21.907,ANALOG_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,5,5,154.5,21.907,ANALOG_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A5,WIRE,ANALOG_5,INOUT,5,5,492.542,387.372,ANALOG_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A4,WIRE,ANALOG_4,INOUT,5,5,473.475,387.372,ANALOG_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A3,WIRE,ANALOG_3,INOUT,5,5,454.408,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A2,WIRE,ANALOG_2,INOUT,5,5,435.341,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A1,WIRE,ANALOG_1,INOUT,5,5,416.274,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A0,WIRE,ANALOG_0,INOUT,5,5,397.207,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,VIN,WIRE,,,,,357.76,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,338.693,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,319.626,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5V,WIRE,POWER,VCC,5,5,300.559,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.3V,WIRE,,,,,281.492,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RESET,WIRE,,,,,262.425,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,IOREF,WIRE,,,,,243.358,387.372,,,,,,,,,,,,,,
Arduinoall-29,Arduinoall,PIR Motion Sensor Module HC-SR501,https://www.arduinoall.com/product/29/pir-hc-sr501-%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%84%E0%B8%A5%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%AB%E0%B8%A7-motion-sensor-module-hc-sr501,PERIPHERAL,STANDALONE,ARDUINO,MP_ARDUINOALL_29,,235,230,,,,,,5V,WIRE,POWER,VCC,3,5,135,229.074,GPIO_1,Presence,Detect Human,isDetected,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,,,99,229.074,,,No Human,isNotDetected,,,,,,,,,,
,,,,,,,,,,,,,,,,DO,WIRE,GPIO_1,INOUT,3,5,117,229.074,,,,,,,,,,,,,,
Adafruit-1438,Adafruit,Adafruit Motor/Stepper/Servo Shield for Arduino v2 Kit - v2.3,https://www.adafruit.com/product/1438,PERIPHERAL,SHIELD,ARDUINO,MP_ADAFRUIT_1438,adafruit/Adafruit_MotorShield_V2_Library,454,204,,,,,,M1+,WIRE,,,,,17,177.5,I2C_1,DC Motor,On,Direction,,,,Forward,,,,,,
,,,,,,,,,,,,,,,,M1-,WIRE,,,,,17,205.5,,,,,,,,Backward,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,,,,,17,230.5,,,,Speed,0,100,PERCENT,,,,,,,
,,,,,,,,,,,,,,,,M2+,WIRE,,,,,17,260.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,M2-,WIRE,,,,,17,290.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,V+,WIRE,,,,,156,397,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,V-,WIRE,,,,,181,397,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,M3+,WIRE,,,,,528,348.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,M3-,WIRE,,,,,528,322.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,,,,,528,295.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,M4+,WIRE,,,,,528,269.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,M4-,WIRE,,,,,528,240.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo1+,WIRE,,,,,64,23.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo1-,WIRE,,,,,83,23.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo1s,WIRE,,,,,102,23.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo2+,WIRE,,,,,64,43.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo2-,WIRE,,,,,83,43.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Servo2s,WIRE,,,,,102,43.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,5,5,174.5,21.907,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,5,5,154.5,21.907,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5V,WIRE,POWER,VCC,5,5,300.559,387.372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,319.626,387.372,,,,,,,,,,,,,,
Adafruit-1119,Adafruit,Tactile Switch Button,https://www.adafruit.com/product/1119,PERIPHERAL,BREAKOUT_BOARD_TWOSIDE,ARDUINO,MP_ADAFRUIT_1119,,119,82,,,,,,S1A,WIRE,GPIO_1,INOUT,,,31.785,42.489,GPIO_1,Button,Wait For Press,isPressed,,,,,,,,,,
,,,,,,,,,,,,,,,,S1B,WIRE,POWER,GND,5,5,2.984,0.002,,,Wait For Release,isReleased,,,,,,,,,,
,,,,,,,,,,,,,,,,VCC,WIRE,POWER,VCC,5,5,117.42,60.299,,,,,,,,,,,,,,
COM-09590,Sparkfun,LED - Basic Red 5mm,https://www.sparkfun.com/products/9590,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_COM_09590,,111,129,,,,,,GND,WIRE,POWER,GND,5,5,9.054,107.646,PWM_1,LED,On,Brightness,0,100,PERCENT,,,,,,,
,,,,,,,,,,,,,,,,V+,WIRE,PWM_1,INOUT,1.8,5,109.966,107,,,Off,,,,,,,,,,,
Adafruit-1334,Adafruit,RGB Color Sensor with IR filter and White LED - TCS34725,https://www.adafruit.com/product/1334,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_ADAFRUIT_1334,adafruit/Adafruit_TCS34725,116,117,,,,,,LED,WIRE,POWER,VCC,3.3,5,14.401,106.559,I2C_1,Color,Detect Color,Color,,,,Red,,,,,,
,,,,,,,,,,,,,,,,INT,WIRE,,,,,28.801,106.559,,,,,,,,Green,,,,,,
,,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,3.3,5,43.201,106.559,,,,,,,,Blue,,,,,,
,,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,3.3,5,57.601,106.559,,,,,,,,Cyan,,,,,,
,,,,,,,,,,,,,,,,3V3,WIRE,,,,,72.001,106.559,,,,,,,,Magenta,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,86.401,106.559,,,,,,,,Yellow,,,,,,
,,,,,,,,,,,,,,,,VIN,WIRE,POWER,VCC,3.5,5,100.801,106.559,,,,,,,,,,,,,,
Arduitronics-220,Arduitronics,"4 digit display LED module clock for Arduino 0.36""",https://www.arduitronics.com/product/220/seven-segment-4-digit-clock-display-0-36-inches-catalex,PERIPHERAL,STANDALONE,ARDUINO,MP_ADRUITRONICS_220,avishorp/TM1637,372,153,,,,,,CLK,WIRE,GPIO_1,INOUT,3.3,5,321,53.3,GPIO_1,7 Segment,Show Value,Value,,,,,,,,,,
,,,,,,,,,,,,,,,,DIO,WIRE,GPIO_2,INOUT,3.3,5,321,67.8,GPIO_2,,Show Number,Number,-999,9999,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,VCC,WIRE,POWER,VCC,3.3,5,321,82.3,,,Off,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,321,96.8,,,Set Brightness,Brightness,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Arduinoall-1015,Arduinoall,Active Buzzer DC 1.5V-12V,https://www.arduinoall.com/product/1015/active-buzzer-dc-1-5v-12v-buzzer,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_ARDUINOALL_1015,,158,155,,,,,,VCC,WIRE,GPIO_1,INOUT,1.5,12,85.742,151.8,GPIO_1,Buzzer,Play Tone,Tone Frequency,0,20000,HERTZ,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,1.5,12,71.279,151.8,,,,Duration,0,1000,SECOND,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Beep,,,,,,,,,,,
Arduinoall-332,Arduinoall,RGB LED Module Common Cathode,https://www.arduinoall.com/product/332/rgb-3-color-full-color-ky-016-led-module-for-arduino-avr-pic,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_ARDUINOALL_332,,86,107,,,,,,R,WIRE,PWM_1,INOUT,5,5,20.743,90.968,PWM_1,RGB LED,On,Red,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,G,WIRE,PWM_2,INOUT,5,5,35.144,90.968,PWM_2,,,Green,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,B,WIRE,PWM_3,INOUT,5,5,49.544,90.968,PWM_3,,,Blue,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,-,WIRE,POWER,GND,5,5,63.944,90.968,,,,Brightness,0,100,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MCU_1,Arduino,Arduino UNO,https://www.sparkfun.com/products/13975,CONTROLLER,STANDALONE,ARDUINO,,,425,303,,,,,,0,WIRE,UART_1,UART_RX,5,5,395.56,14.4,GPIO_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,WIRE,UART_1,UART_TX,5,5,381.16,14.4,GPIO_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,WIRE,GPIO_1,INOUT,5,5,366.74,14.4,GPIO_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,WIRE,PWM_1,INOUT,5,5,352.36,14.4,GPIO_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_2,INOUT,,,,,GPIO_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,WIRE,GPIO_3,INOUT,5,5,337.96,14.4,GPIO_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,WIRE,PWM_2,INOUT,5,5,323.56,14.4,GPIO_7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_4,INOUT,,,,,GPIO_8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,WIRE,PWM_3,INOUT,5,5,309.16,14.4,GPIO_9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_5,INOUT,,,,,GPIO_10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,WIRE,GPIO_6,INOUT,5,5,294.74,14.4,GPIO_11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,WIRE,GPIO_7,INOUT,5,5,271.6,14.4,GPIO_12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,WIRE,PWM_4,INOUT,5,5,257.2,14.4,UART_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_8,INOUT,,,,,I2C_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,WIRE,PWM_5,INOUT,5,5,242.78,14.4,SPI_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SPI_1,SPI_SS,,,,,PWM_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_9,INOUT,,,,,PWM_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11,WIRE,PWM_6,INOUT,5,5,228.38,14.4,PWM_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SPI_2,SPI_MOSI,,,,,PWM_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_10,INOUT,,,,,PWM_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12,WIRE,SPI_3,SPI_MISO,5,5,214,14.4,PWM_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_11,INOUT,,,,,ANALOG_0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,13,WIRE,SPI_4,SPI_SCK,5,5,199.6,14.4,ANALOG_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GPIO_12,INOUT,,,,,ANALOG_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,185.2,14.4,ANALOG_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,AREF,WIRE,,,,,170.8,14.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,5,5,156.4,14.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,5,5,142,14.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,IOREF,WIRE,,,,,208.36,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RESET,WIRE,,,,,222.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.3V,WIRE,,,,,237.16,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5V,WIRE,POWER,VCC,5,5,251.56,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,265.96,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,5,5,280.36,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,VIN,WIRE,,,,,294.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A0,WIRE,ANALOG_0,INOUT,5,5,323.56,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A1,WIRE,ANALOG_1,INOUT,5,5,337.96,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A2,WIRE,ANALOG_2,INOUT,5,5,352.36,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A3,WIRE,ANALOG_3,INOUT,5,5,366.76,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A4,WIRE,,INOUT,5,5,381.16,288,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A5,WIRE,,INOUT,5,5,395.56,288,,,,,,,,,,,,,,
Arduinoall-1533,Aduinoall,Ultrasonic Sensor Module HC-SR04P,https://i.lnwfile.com/_/i/_raw/9u/ew/hl.jpg,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_ARDUINOALL_1533,,228,129.811,,,,,,VIN,WIRE,POWER,VCC,3.3,5,91.572,129.811,,Distance,Compare,,,,,,Distance,0.02,4.5,METER,,
,,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,134.894,129.811,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TRIG,WIRE,GPIO_1,INOUT,3.3,5,105.692,129.811,GPIO_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ECHO,WIRE,GPIO_2,INOUT,3.3,5,120.456,129.811,GPIO_2,,,,,,,,,,,,,
